step,time_ms,memory_mb,checks,flops
0,20.4394,68.58,7603,124045
1,13.3501,68.69,7587,123805
2,13.3175,68.70,7603,124045
3,13.1838,68.70,7572,123580
4,13.0945,68.70,7566,123490
5,13.2979,68.73,7557,123355
6,13.0624,68.73,7550,123250
7,12.9573,68.73,7534,123010
8,12.8970,68.73,7528,122920
9,12.9753,68.73,7541,123115
