step,time_ms,memory_mb,checks,flops
0,1037.9190,69.06,499500,7502500
1,1015.9710,69.22,499500,7502500
2,1025.0200,69.25,499500,7502500
3,1017.6398,69.25,499500,7502500
4,1019.1891,69.25,499500,7502500
5,1053.5962,69.30,499500,7502500
6,1060.7860,69.41,499500,7502500
7,1050.0175,69.41,499500,7502500
8,1033.3685,69.41,499500,7502500
9,1030.2755,69.41,499500,7502500
