step,time_ms,memory_mb,checks,flops
0,0.21742,175.27,7595,123925
1,0.19504,175.27,7593,123895
2,0.17958,175.27,7573,123595
3,0.15204,175.27,7570,123550
4,0.18762,175.27,7534,123010
5,0.20408,175.27,7522,122830
6,0.17162,175.27,7512,122680
7,0.16158,175.27,7502,122530
8,0.17954,175.27,7518,122770
9,0.15129,175.27,7503,122545
