step,time_ms,memory_mb,checks,flops
0,1018.9499,69.14,499500,7502500
1,1019.2196,69.19,499500,7502500
2,1014.4227,69.28,499500,7502500
3,1010.2654,69.28,499500,7502500
4,1001.4525,69.28,499500,7502500
5,1013.6446,69.28,499500,7502500
6,1011.9447,69.28,499500,7502500
7,1050.6046,69.28,499500,7502500
8,1011.3806,69.28,499500,7502500
9,1007.8187,69.28,499500,7502500
